Zipcode,count,lat,lon
91706,258,34.08913751048305,-117.97847094349932
33150,218,25.854252206422018,-80.20766947706423
30312,209,33.746300153995364,-84.38494834861588
90248,197,33.86793979187817,-118.28914974111676
75207,190,32.7885197,-96.81892714736843
80216,186,39.78066900182796,-104.95278777860216
90650,183,33.91356844088681,-118.09380550801228
33020,169,26.02641114850096,-80.16490197500664
94607,169,37.8171745443787,-122.29809847928995
75228,168,32.813692744047614,-96.69027619047618
29210,167,34.03642780838323,-81.10751955688623
75243,164,32.91300481720349,-96.73887789757583
91342,163,34.30572268964761,-118.45435538199648
90040,160,33.9992798875,-118.15383242499999
90023,156,34.025676,-118.20318505128205
33169,152,25.92428500959345,-80.20925043970168
30034,149,33.71113228277884,-84.24407779663427
33168,147,25.8974152585034,-80.20977578911565
70802,145,30.444111172413795,-91.1768368137931
92324,145,34.049587737931034,-117.32158706896551
30309,143,33.79192400699301,-84.39156703496504
92507,143,33.96468712587413,-117.32070418881119
94710,142,37.8705420915493,-122.30465673943664
80229,140,39.851413442857144,-104.98283024285715
92407,140,34.25979837142857,-117.4298925
91761,139,34.06202924460431,-117.55988884892086
30340,137,33.89484683220798,-84.2576569967361
75150,137,32.817594104768574,-96.63087160217704
75238,137,32.885587240875914,-96.69912950364964
37210,136,36.147345219951816,-86.74626399827126
